route,template,lang,viewport,width,height,overflow_px,console_errors,status
/en/,home,en,phone-narrow,320,568,10,0,ok
/,home,es,phone-narrow,320,568,10,0,ok
/en/about,narrative-about,en,phone-narrow,320,568,10,0,ok
/about,narrative-about,es,phone-narrow,320,568,10,0,ok
/en/community,narrative-community,en,phone-narrow,320,568,10,0,ok
/community,narrative-community,es,phone-narrow,320,568,10,0,ok
/en/conduct,narrative-conduct,en,phone-narrow,320,568,10,0,ok
/conduct,narrative-conduct,es,phone-narrow,320,568,10,0,ok
/en/contributing,narrative-contributing,en,phone-narrow,320,568,10,0,ok
/en/governance,narrative-governance,en,phone-narrow,320,568,10,0,ok
/en/contact,form-contact,en,phone-narrow,320,568,10,0,ok
/contact,form-contact,es,phone-narrow,320,568,10,0,ok
/en/call-for-speakers,form-call-for-speakers,en,phone-narrow,320,568,10,0,ok
/call-for-speakers,form-call-for-speakers,es,phone-narrow,320,568,10,0,ok
/en/sponsor-us,form-sponsor-us,en,phone-narrow,320,568,10,0,ok
/en/channels,channels,en,phone-narrow,320,568,10,0,ok
/en/press,press,en,phone-narrow,320,568,10,0,ok
/en/sponsors,sponsors,en,phone-narrow,320,568,10,0,ok
/en/contributors,contributors,en,phone-narrow,320,568,10,0,ok
/en/verticals,verticals-list,en,phone-narrow,320,568,10,0,ok
/en/verticals/speaker-school,verticals-detail,en,phone-narrow,320,568,10,0,ok
/en/verticals/library-of-tomorrow,verticals-detail,en,phone-narrow,320,568,10,0,ok
/en/verticals/ai-channel,verticals-detail,en,phone-narrow,320,568,10,0,ok
/en/blog,blog-listing,en,phone-narrow,320,568,10,0,ok
/blog,blog-listing,es,phone-narrow,320,568,10,0,ok
/en/blog/what-is-pereira-tech-talks,blog-post-banner,en,phone-narrow,320,568,0,1,http_404
/blog/what-is-pereira-tech-talks,blog-post-banner,es,phone-narrow,320,568,0,1,http_404
/en/blog/my-experience-at-digital-product-school,blog-post-banner,en,phone-narrow,320,568,10,0,ok
/blog/my-experience-at-digital-product-school,blog-post-banner,es,phone-narrow,320,568,10,0,ok
/en/blog/quarantine-tech-talks,blog-post-embeds,en,phone-narrow,320,568,0,1,error:page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "http://loc
